gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
eca-miR-486-5p,811365,558104,640028,512889,838624,0,930128,853025,648364,975753,311943,721446,802457,842080,545734
eca-miR-451,327463,344708,459206,398780,201224,0,444386,588367,253987,276987,47687,226224,454884,301125,112214
eca-miR-92a,60426,75414,66700,63154,42697,0,75362,96651,60359,80708,6261,46474,76349,83916,27043
eca-miR-25,58482,100886,80506,73170,60151,0,91630,82106,59051,85272,23474,49749,46476,47587,26840
eca-let-7g,57536,79323,108838,101643,88311,0,168698,188683,110543,128621,13849,85739,93903,96901,49296
eca-let-7f,48383,102888,157322,86508,29084,0,95525,91432,39900,77178,2753,27130,76428,50570,5490
eca-miR-191,42320,81459,81018,43609,88296,0,42262,37306,27275,43191,10149,22066,33247,22725,19987
eca-let-7a,28184,65888,86171,45247,29825,0,49015,37698,20675,51726,1188,18763,43447,24643,4765
eca-miR-16,21713,37449,40063,34732,17440,0,28848,26873,19878,22936,3688,7665,15919,12431,3027
eca-miR-186,20877,52056,65839,55188,46776,0,75827,55170,41242,69922,6662,31593,35094,24500,23571
eca-miR-101,17681,38654,67130,42658,22830,0,55107,79004,29774,37100,1711,15705,33919,19240,14079
eca-miR-21,13702,20799,30296,21196,10363,0,48327,32646,75830,17626,5576,35914,17754,42706,27968
eca-miR-93,12154,15710,23105,23704,12378,0,16756,23102,14488,12208,8102,7247,13383,12303,3437
eca-miR-144,12028,14894,34791,26129,4861,0,27718,32842,14295,16834,229,5124,17176,5487,4462
eca-let-7c,11216,20702,30600,19106,17338,0,18710,20750,10717,21034,2274,10559,15123,8904,6086
eca-miR-142-5p,10280,17686,24287,17536,12561,0,22075,16146,12677,13993,1181,8678,10405,8654,7087
eca-miR-7,10237,22701,37120,22356,8879,0,28702,23936,15907,18352,2287,10487,16951,14003,6105
Un0002_87069,10076,23356,36340,24058,22825,0,17207,25534,14520,17701,4148,8798,14468,11490,7195
eca-miR-26a,9748,18214,21685,20268,10641,0,34097,26232,34136,26970,1780,18385,14193,17269,8859
eca-let-7d,7019,12048,19021,10743,6711,0,11142,9052,7867,13051,597,5313,8251,4924,3268
9_79881,6454,2906,3734,2603,5542,0,4850,4702,3856,4809,271,3921,4030,6138,2234
eca-miR-30e,5318,13622,12915,13611,11193,0,26544,16714,15620,17830,1579,12085,8547,11030,7339
13_18058,5109,9296,12668,11451,9217,0,10760,13806,9502,8287,1867,6499,7817,8483,3979
eca-miR-103,4736,7054,6664,6810,3744,0,6773,6969,15438,4055,1613,6804,6219,14664,5021
eca-miR-107a,4670,6965,6573,6731,3709,0,6715,6939,15309,4030,1595,6756,6119,14394,5002
eca-miR-22,4313,11206,16819,14522,11718,0,15502,13419,14529,11959,1034,11325,10915,8920,9332
eca-miR-20a,3816,8338,12233,12756,5542,0,11890,15316,9226,8508,674,4959,9622,9051,1999
eca-miR-106b,3506,6266,11980,8008,3609,0,8054,11344,6150,6340,1192,2444,6511,3407,1992
eca-miR-17,2508,4141,6531,5464,2988,0,4880,5901,4153,3412,898,2298,4450,3404,977
eca-miR-106a,2399,3892,6166,5183,2971,0,4711,5910,4146,3371,881,2276,3939,3200,992
eca-miR-148a,2219,4783,8133,6048,5988,0,12787,12592,11385,6869,824,6501,5785,6397,6895
eca-miR-30c,2182,1430,1089,2023,2089,0,4080,2444,4409,2526,2102,3315,1495,4061,1994
eca-miR-423-3p,2063,8007,10505,5964,4699,0,6167,6338,5303,6862,521,3381,5912,2976,3476
eca-miR-140-3p,1854,4056,4563,4414,2499,0,4145,3241,3058,2444,942,1515,1319,1948,1286
eca-miR-30d,1748,2999,2864,2388,2453,0,2883,1781,3762,2038,1323,2207,1427,2888,1932
eca-miR-423-5p,1748,2679,3892,2306,2827,0,2083,2307,1898,2101,531,950,2160,1274,1261
eca-miR-197,1505,1305,1599,805,306,0,714,979,818,868,490,360,759,599,423
X_83886,1459,1892,3586,2616,916,0,2821,2737,2535,1747,260,1057,1583,1529,597
eca-miR-98,1338,2810,4638,2474,1084,0,2559,3665,1679,2143,129,901,1998,1243,379
eca-miR-27b,1168,2995,4292,3563,2198,0,4273,3528,6267,2348,1330,2239,1433,2806,2026
